strokes,hex,dec
㇀,31C0,12736
㇁,31C1,12737
㇂,31C2,12738
㇃,31C3,12739
㇄,31C4,12740
㇅,31C5,12741
㇆,31C6,12742
㇇,31C7,12743
㇈,31C8,12744
㇉,31C9,12745
㇊,31CA,12746
㇋,31CB,12747
㇌,31CC,12748
㇍,31CD,12749
㇎,31CE,12750
㇏,31CF,12751
㇐,31D0,12752
㇑,31D1,12753
㇒,31D2,12754
㇓,31D3,12755
㇔,31D4,12756
㇕,31D5,12757
㇖,31D6,12758
㇗,31D7,12759
㇘,31D8,12760
㇙,31D9,12761
㇚,31DA,12762
㇛,31DB,12763
㇜,31DC,12764
㇝,31DD,12765
㇞,31DE,12766
㇟,31DF,12767
㇠,31E0,12768
㇡,31E1,12769
㇢,31E2,12770
㇣,31E3,12771
㇤,31E4,12772
㇥,31E5,12773
